name,gender,nationality,nationalityID,birth
Margit Stórá,female,Kingdom of Denmark,Q756617,1971
Winifred Heath,female,England,Q21,1892
Clarice May,female,New Zealand,Q664,1921
Anneli Kannus,female,Estonia,Q191,1969
Carrie Wilkins Pollard,female,United States,Q30,1842
Yvonne Baratte,female,France,Q142,1910
Dorothea Schwammer,female,Cisleithania,Q533534,1830
Marguerite Chapon,female,France,Q142,1884
Hélène Pilatte,female,Belgium,Q31,1899
Gunn Anita Jacobsen,female,Norway,Q20,1956
Mary Beard,female,United States,Q30,1876
Charlotte MacLeod,female,Canada,Q16,1852
Clara Ayres,female,United States,Q30,1880
Elvira Velasco Morillo,female,Spain,Q29,1968
Dita Hopkins Kinney,female,United States,Q30,1855
Sonja Stamenkova,female,North Macedonia,Q221,1968
Tina Wesson,female,United States,Q30,1960
Yana Kalman,female,Israel,Q801,1974
Louise de Kiriline Lawrence,female,Sweden,Q34,1894
Lowitja O'Donoghue,female,Australia,Q408,1932
Luann de Lesseps,female,United States,Q30,1965
Lucile Petry Leone,female,United States,Q30,1902
Lucilla Andrews,female,United Kingdom of Great Britain and Ireland,Q174193,1919
Marie-Line Dahomay,female,France,Q142,1958
Ewa Gawin,female,Poland,Q36,1959
Juliette Elmir,female,Syria,Q858,1909
Anna Leontina Svensson,female,Sweden,Q34,1877
Virginia H. Gill,female,United States,Q30,1907
Nelly Núñez,female,Bolivia,Q750,1948
Rose Parsons,female,United States,Q30,1891
Maria Viklund,female,Sweden,Q34,1973
Rosemay Nivard,female,France,Q142,1961
Eumeda Byfield,female,Jamaica,Q766,1939
Enfermeira Ana Paula,female,Brazil,Q155,1983
Mary Scanlon,female,New Zealand,Q664,1929
Thais Barbosa,female,Brazil,Q155,1940
Hilda Emilia Nordblom,female,Sweden,Q34,1863
Jessie Clifton,female,Australia,Q408,1876
Ann Robertson,female,United Kingdom,Q145,1934
Florence Gertrude Louisa Du Cane,female,Australia,Q408,1869
Manami Ito,female,Japan,Q17,1984
Annie Lemani,female,Malawi,Q1020,1946
Enid Eveleen Stoker,female,United Kingdom of Great Britain and Ireland,Q174193,1893
Florence Annison,female,New Zealand,Q664,1926
Ada Cole,female,United Kingdom,Q145,1880
Siti Alnfor,female,Sudan,Q1049,1997
Isabel Barios Ibars,female,Spain,Q29,1991
Jane Cecilia Deeble,female,United Kingdom of Great Britain and Ireland,Q174193,1827
Helen Campbell Norman,female,United Kingdom of Great Britain and Ireland,Q174193,1856
Mabel Grouitch,female,United States,Q30,1888
Mabel Keaton Staupers,female,United States,Q30,1890
Mabel Te Aowhaitini Mangakahia,female,New Zealand,Q664,1899
Mabel Thorp Boardman,female,United States,Q30,1860
Mabel Thurston,female,New Zealand,Q664,1869
Mabel Winifred Gunn,female,New Zealand,Q664,1890
Maggie Ausburn,female,United States,Q30,1978
Mairi Chisholm,female,United Kingdom of Great Britain and Ireland,Q174193,1896
Lucy Lameck,female,Tanzania,Q924,1934
Julienne Meyer,female,United Kingdom,Q145,1956
Marie-Thérèse de Poix,female,France,Q142,1894
Alma Carrasco,female,Uruguay,Q77,1933
Dawn M. Adams,female,United States,Q30,1964
Femi Claudius Cole,female,Sierra Leone,Q1044,1962
Mary Sewall Gardner,female,United States,Q30,1871
Martha Drummer,female,United States,Q30,1871
Iva Machková,female,Czech Republic,Q213,1984
Margaret Pissarek,female,Austria,Q40,1935
Hélène Gauguin,female,Switzerland,Q39,1901
Gustava Hjort,female,Kingdom of Denmark,Q756617,1868
Ida Vines Moffett,female,United States,Q30,1905
Mercè Arqué Blanco,female,Spain,Q29,1945
Agnes Rygg,female,Norway,Q20,1872
Christine Lorne,female,Sweden,Q34,1982
Dora Finch,female,United Kingdom,Q145,1877
Josephine Waconda,female,United States,Q30,1935
Margaret Southwick,female,New Zealand,Q664,1943
Else Lose Andersen,female,Kingdom of Denmark,Q756617,1919
Anastacia Giron-Tupas,female,Philippines,Q928,1890
Lillian Dunlap,female,United States,Q30,1922
Maria Boni Brighenti,female,Kingdom of Italy,Q172579,1868
Laura James,female,New Zealand,Q664,1880
Beryl Grant,female,Australia,Q408,1921
Maude C. Davison,female,United States,Q30,1885
Hilda Bowen,female,The Bahamas,Q778,1923
Ianthe Blyden,female,Kingdom of Denmark,Q756617,1899
Valentine Bouillant,female,France,Q142,1858
Myrah Keating Smith,female,United States,Q30,1908
Effie J. Taylor,female,Canada,Q16,1874
Mary Bernard Dickson,female,New Zealand,Q664,1810
Mary Burnett Talbert,female,United States,Q30,1866
"Mary Donaldson, Lady Donaldson of Lymington",female,United Kingdom of Great Britain and Ireland,Q174193,1921
Mary Eliza Mahoney,female,United States,Q30,1845
Mary Elizabeth Carnegie,female,United States,Q30,1916
Mary Fields Hall,female,United States,Q30,1934
Eileen Fitzer,female,Australia,Q408,1902
Anna Joma Granefjell,female,Norway,Q20,1936
Nili Margalit,female,Israel,Q801,1983
Gertrude Richards,female,United Kingdom,Q145,1864
Madeleine Reuterskiöld,female,Sweden,Q34,1939
Vibeke Valeur,female,Kingdom of Denmark,Q756617,1942
Kellie Nalbandian,female,United States,Q30,1993
Krystyna Majczyńska,female,Poland,Q36,1926
Huia Reweti-Henere,female,New Zealand,Q664,1934
Elizabeth Danieli,female,Israel,Q801,1940
Louisa Parsons,female,United Kingdom of Great Britain and Ireland,Q174193,1855
Stella Edith Lottie Pines,female,Australia,Q408,1884
Lise Müller,female,Kingdom of Denmark,Q756617,1974
Bożena Dworska,female,Poland,Q36,1961
Isabelle St-Pierre,female,Canada,Q16,1969
Amelia Vander Stichele,female,Belgium,Q31,1816
Stefania Poznańska,female,Poland,Q36,1923
Gabriela Jančíková,female,Czech Republic,Q213,1976
Jeannette Frenoux,female,France,Q142,1921
Juanita Rule,female,Mexico,Q96,1914
Sara Blomkwist,female,Kingdom of the Netherlands,Q29999,1888
Margaret Murdock,female,United States,Q30,1942
Margaret Packham Hargrave,female,Australia,Q408,1941
Margot Turner,female,United Kingdom of Great Britain and Ireland,Q174193,1910
Maria Jane Mackay,female,New Zealand,Q664,1844
Mariann Stratton,female,United States,Q30,1945
Marie Joys,female,Norway,Q20,1872
Marie Louise Habets,female,Belgium,Q31,1905
Lilian Greuze,female,France,Q142,1890
Lillian Kinkella Keil,female,United States,Q30,1916
Lillie Goodisson,female,Australia,Q408,1859
Linda Kearns MacWhinney,female,Ireland,Q27,1888
Linda Richards,female,United States,Q30,1841
Linda Sloan,female,Canada,Q16,1960
Elisabeth Leist,female,Germany,Q183,1917
Camille Armel,female,France,Q142,1897
A. S. Nathaniel,female,Pakistan,Q843,2000
Tone Rustøen,female,Norway,Q20,1956
Jane Rignel,female,United States,Q30,1884
Sarah Tarleton Colvin,female,United States,Q30,1865
Haru Egawa,female,Japan,Q17,1924
Gemma Espigares i Tribó,female,Spain,Q29,1988
Marie-Louise Cloarec,female,France,Q142,1917
Kate Mason Rowland,female,United States,Q30,1840
Kate Youngman,female,United States,Q30,1841
Katharine Furse,female,United Kingdom of Great Britain and Ireland,Q174193,1875
Katharine Kolcaba,female,United States,Q30,1944
Kathleen Anne Baird Hall,female,New Zealand,Q664,1896
Kathleen L. Martin,female,United States,Q30,1951
Kathleen Raven,female,United Kingdom of Great Britain and Ireland,Q174193,1910
"Kathleen Simon, Viscountess Simon",female,United Kingdom of Great Britain and Ireland,Q174193,1863
Mary Stanley,female,United Kingdom of Great Britain and Ireland,Q174193,1813
Mary Uprichard,female,United Kingdom,Q145,1938
Maud McCarthy,female,Australia,Q408,1859
Maude E. Callen,female,United States,Q30,1898
Maude Storey,female,United Kingdom,Q145,1930
Maura Buchanan,female,United Kingdom,Q145,2000
Maureen O'Connell,female,United States,Q30,1950
Mother Mary Alphonsa,female,United States,Q30,1851
Muriel Powell,female,United Kingdom of Great Britain and Ireland,Q174193,1914
Klara Nowak,female,Germany,Q183,1922
Lucy Osburn,female,United Kingdom of Great Britain and Ireland,Q174193,1835
Lyda Hill,female,United States,Q30,1942
Lynne Pillay,female,New Zealand,Q664,1950
Maxine Conder,female,United States,Q30,1926
May Wedderburn Cannan,female,United Kingdom of Great Britain and Ireland,Q174193,1893
Alice Jean Wheatley,female,Australia,Q408,1904
Nola Ishmael,female,Barbados,Q244,1943
Madeleine Frances Jaffray,female,Canada,Q16,1889
Ann Burgess,female,United States,Q30,1936
Ruth Northway,female,United Kingdom,Q145,1961
Lauren Underwood,female,United States,Q30,1986
Mary Isabel Lambie,female,New Zealand,Q664,1889
Mary Joan Nielubowicz,female,United States,Q30,1929
Mary Lindell,female,United Kingdom of Great Britain and Ireland,Q174193,1895
Mary Livermore,female,United States,Q30,1820
Mary O'Connell,female,United States,Q30,1814
Mary Porter,female,United Kingdom,Q145,1942
Penehupifo Pohamba,female,Namibia,Q1030,1948
Penny Sartori,female,United Kingdom,Q145,1971
Phyllis Friend,female,United Kingdom of Great Britain and Ireland,Q174193,1922
Leah Vukmir,female,United States,Q30,1958
Leena Rauhala,female,Finland,Q33,1942
Lilian Gladys Tompkins,female,New Zealand,Q664,1893
Lilian Marguerite Medland,female,Australia,Q408,1880
Lillian Gordy Carter,female,United States,Q30,1898
Ethel Page,female,Australia,Q408,1875
Beverley Salmon,female,Canada,Q16,1930
Eli Gunhild By,female,Norway,Q20,1962
Türkan Aziz,female,Autonomous Turkish Cypriot Administration,Q4250299,1917
Ferda İzbudak Akıncı,female,Turkey,Q43,1952
Lesley Elliott,female,New Zealand,Q664,1946
Solveig Kopperstad Bratseth,female,Norway,Q20,1958
Marilyn Milos,female,United States,Q30,1940
Marion Carpenter,female,United States,Q30,1920
Marion Elizabeth Moodie,female,Canada,Q16,1867
Marthe Cnockaert,female,Belgium,Q31,1892
Quinndy Akeju,female,Spain,Q29,2000
Margaret Carrington Moore,female,United States,Q30,1896
Omolola Irinoye,female,Nigeria,Q1033,1956
Monika Ažman,female,Socialist Federal Republic of Yugoslavia,Q83286,1966
Marija Tomšič,female,"Kingdom of Serbs, Croats and Slovenes",Q15102440,1907
Rose Asiedua,female,United Kingdom,Q145,1952
Frances Lyndall Schreiner,female,South Africa,Q258,1887
Madeleine Verniol,female,France,Q142,1904
Eva Mackay,female,New Zealand,Q664,1902
Ségolène Lefébure,female,France,Q142,1946
Heather Allan,female,New Zealand,Q664,1941
Jelfrid Öberg,female,Sweden,Q34,1905
Mary Cawston Bousfield,female,United Kingdom of Great Britain and Ireland,Q174193,1891
Halina Stefańska,female,Poland,Q36,1912
Geraldine Buller,female,New Zealand,Q664,1936
Marie-Josée Martel,female,Canada,Q16,1971
Hansje Suermondt,female,Kingdom of the Netherlands,Q29999,1921
Lucie Machová,female,Czech Republic,Q213,1992
Naděžda Holešová,female,Czech Republic,Q213,1974
May Langdon,female,New Zealand,Q664,1930
Molly Cook,female,United States,Q30,1991
Mary Baadsvik,female,Norway,Q20,1919
Rodeth Teresa Makina Gil,female,Angola,Q916,1948
Myra Blanch,female,Australia,Q408,2000
Myrna Driedger,female,Canada,Q16,1952
Nicolasa Dayrit-Panlilio,female,Commonwealth of the Philippines,Q146328,1874
Nita Barrow,female,Barbados,Q244,1916
Olive Anstey,female,Australia,Q408,1920
Pamela Clauss,female,Australia,Q408,1925
Pansy Helen Auld Chapman,female,New Zealand,Q664,1892
Pearl Corkhill,female,Australia,Q408,1887
E. Ann Hoefly,female,United States,Q30,1919
Trinette Bindschedler,female,Switzerland,Q39,1825
Cary-Anne McTaggart,female,Canada,Q16,1986
Elżbieta Stasiak,female,Poland,Q36,1961
Monika Dahlstrand,female,Sweden,Q34,1944
Frances Davis,female,United States,Q30,1882
Monika Jarošová,female,Czechoslovakia,Q33946,1970
Agnes Mary Lions,female,Australia,Q408,1908
Janice Wenn,female,New Zealand,Q664,1933
Anne V. Coates,female,United Kingdom,Q145,1925
Florence Nightingale,female,United Kingdom of Great Britain and Ireland,Q174193,1820
Andrea Parra,female,Chile,Q298,1967
Galina Ostashevskaya,female,Russia,Q159,1925
Ethel Armstrong,female,United Kingdom,Q145,1930
Graciela Arroyo de Cordero,female,Mexico,Q96,1934
Stefana Tomasini,female,Bulgaria,Q219,1916
Ida Brunelli,female,Italy,Q38,1920
Yvonne Beaudry,female,Canada,Q16,1875
Sister Ignatia,female,United States,Q30,1889
Sister Philippa Brazill,female,Australia,Q408,1895
Sivan Klein,female,Israel,Q801,1984
Soenghyang,female,United States,Q30,1948
Stacey Bentley,female,United States,Q30,1956
Stanisława Umińska,female,Poland,Q36,1901
Martina Davis-Correia,female,United States,Q30,1967
Mary Agnes Canty,female,New Zealand,Q664,1879
Mary Agnes Snively,female,Canada,Q16,1847
Mary Anne Reidy,female,New Zealand,Q664,1880
Mary Anne Rymill,female,New Zealand,Q664,1817
Mary Banotti,female,Ireland,Q27,1939
Mary Barksdale,female,United States,Q30,1920
Alina Lekgetha,female,Ghana,Q117,1918
Margaret Macfarlane,female,United Kingdom,Q145,1888
Marguerite Addy,female,United Kingdom,Q145,1904
Patience Darton,female,United Kingdom,Q145,1911
Cecilia Voxendal,female,Sweden,Q34,1905
Mary McCann,female,United States,Q30,1880
Aladilce Souza,female,Brazil,Q155,1956
Wendy Shay,female,Ghana,Q117,1996
Iyo Araki,female,Empire of Japan,Q188712,1877
Gisèle Gonse-Boas,female,France,Q142,1918
Josephine Heffernan,female,United States,Q30,1876
May Wykle,female,United States,Q30,1934
Mayinga N'Seka,female,Zaire,Q6500954,1954
Mila Jasey,female,United States,Q30,1951
Mindy Newell,female,United States,Q30,1953
Mona Grey,female,United Kingdom of Great Britain and Ireland,Q174193,1910
Monica Golding,female,United Kingdom of Great Britain and Ireland,Q174193,1902
Dorothea Herwegh,female,Kingdom of the Netherlands,Q29999,1930
Hawwa Ali Albasir,female,Sudan,Q1049,1910
Sadie Stewart Hobday,female,United States,Q30,1889
Dorothy Hall,female,Australia,Q408,1905
Elsie Muriel Jones,female,Australia,Q408,1886
Eileen Rosemary Jones,female,Australia,Q408,1929
Nancy Leftenant-Colon,female,United States,Q30,1920
Jian Jiayun,female,Taiwan,Q865,1998
Irma Grese,female,Weimar Republic,Q41304,1923
Danuta Siedzikówna,female,Poland,Q36,1928
Arina Rodionovna,female,Russian Empire,Q34266,1758
Marie of Romania,female,United Kingdom of Great Britain and Ireland,Q174193,1875
Yolande Bonnet de Paillerets,female,France,Q142,1899
Graça Pimenta,female,Brazil,Q155,1962
Anna Falcken,female,Grand Principality of Finland,Q62633,1852
Laura Illeborg,female,Kingdom of Denmark,Q756617,1969
Itziar Eguren,female,Spain,Q29,1953
Naana Donkor Arthur,female,United States,Q30,1981
Anne Marie van der Wilt,female,Kingdom of the Netherlands,Q29999,1965
Henrietta R. Johnson,female,United States,Q30,1914
Connie Izay,female,United States,Q30,1928
Joanna Wicha,female,Poland,Q36,1966
Lucy Gwendoline Duff Grant,female,United Kingdom,Q145,1894
Marion Welchman,female,United Kingdom,Q145,1915
Line Spiten,female,Norway,Q20,1981
Sabina Hardiman,female,New Zealand,Q664,1930
Elisa Maqe,female,Kingdom of Denmark,Q756617,1916
Aina Rietz,female,Sweden,Q34,1885
Nerea Arriola Urberuaga,female,Spain,Q29,1988
Marie-Thérèse Jouveau,female,France,Q142,1921
Nino Jorjadze,female,Georgia,Q230,1884
Agnes Hansson,female,Sweden,Q34,1888
Reva Rubin,female,United States,Q30,1919
Jacqueline Cristofol,female,France,Q142,1919
Eline Uhrenholt,female,Kingdom of Denmark,Q756617,1875
Dorthe Boe Danbjørg,female,Kingdom of Denmark,Q756617,1975
Kerstin Blomberg,female,Sweden,Q34,1949
