name,gender,nationality,nationalityID,birth
Anne-Birgitte Albrectsen,female,Kingdom of Denmark,Q756617,1967
Barbara Aronstein Black,female,United States,Q30,1933
Barbara Baird Filliter,female,Canada,Q16,1952
Barbara Blaine,female,United States,Q30,1956
Barbara Brandriff Crabb,female,United States,Q30,1939
Barbara Judge,female,United Kingdom,Q145,1946
Barbara A. Babcock,female,United States,Q30,1938
Barbara A. Caulfield,female,United States,Q30,1947
Barbara Ann Crancer,female,United States,Q30,1938
Barbara Ann Radnofsky,female,United States,Q30,1956
Dawne Hickton,female,United States,Q30,1957
Durgabai Deshmukh,female,India,Q668,1909
Barbara Milano Keenan,female,United States,Q30,1950
Barbara Parker,female,United States,Q30,1953
Barbara Pariente,female,United States,Q30,1948
Barbara S. Jones,female,United States,Q30,1947
Deanell Reece Tacha,female,United States,Q30,1946
Debbie Cook,female,United States,Q30,1954
Barbara Jacobs Rothstein,female,United States,Q30,1939
Barbara Kloka Hackett,female,United States,Q30,1928
Barbara Kulaszka,female,Canada,Q16,1952
Barbara L. McQuade,female,United States,Q30,1964
Barbara Lagoa,female,United States,Q30,1967
Barbara Comstock,female,United States,Q30,1959
Barbara Durham,female,United States,Q30,1942
Barbara Handschu,female,United States,Q30,1942
Barbara Jackman,female,Canada,Q16,1950
Barbara Jackson,female,United States,Q30,1961
Debbie Schlussel,female,United States,Q30,1969
Debbie Whitmont,female,Australia,Q408,1901
Deborah Batts,female,United States,Q30,1947
Deborah Burlingame,female,United States,Q30,1954
Beate Gangås,female,Norway,Q20,1963
Beatrice Morrow Cannady,female,United States,Q30,1890
Beatrice Mtetwa,female,Zimbabwe,Q954,1957
Deborah K. Chasanow,female,United States,Q30,1948
Deborah K. Ross,female,United States,Q30,1963
Deborah L. Cook,female,United States,Q30,1952
Deborah Markowitz,female,United States,Q30,1961
Delphine Djiraïbé,female,Chad,Q657,1960
Debra Wong Yang,female,United States,Q30,1959
Antonia Handler Chayes,female,United States,Q30,1929
Erin Moriarty,female,United States,Q30,1952
Deborah Poritz,female,United States,Q30,1936
Deborah L. Rhode,female,United States,Q30,1952
Deborah Servitto,female,United States,Q30,1956
Debra Ann Livingston,female,United States,Q30,1959
Arenda L. Wright Allen,female,United States,Q30,1960
Arlene Foster,female,United Kingdom,Q145,1970
Barbara Lauwers,female,United States,Q30,1914
Barbara Larkin,female,United States,Q30,1951
Barbara Lenk,female,United States,Q30,1950
Barbara M. Lynn,female,United States,Q30,1952
Barbara Madsen,female,United States,Q30,1952
Erika Holzer,female,United States,Q30,1935
Denise Page Hood,female,United States,Q30,1952
Denise Posse-Blanco Lindberg,female,United States,Q30,1951
Zohra Drif,female,Algeria,Q262,1934
Magda Raemaekers,female,Belgium,Q31,1947
Magda De Galan,female,Belgium,Q31,1946
Magali Woch,female,France,Q142,1981
